 00:00:00.108724 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 38006:39374, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108725 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 39374:40742, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108726 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 40742:42110, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.120086 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 42110:43478, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120087 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 43478:44846, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120088 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 44846:46214, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120089 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 46214:47582, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120090 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 47582:48950, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120091 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 48950:50318, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120258 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 50318:51686, ack 526, win 506, options [nop,nop,TS val 1395313738 ecr 3652396336], length 1368
 00:00:00.120259 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 51686:53054, ack 526, win 506, options [nop,nop,TS val 1395313738 ecr 3652396336], length 1368
 00:00:00.121921 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 53054:54422, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121922 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 54422:55790, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121923 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 55790:57158, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121924 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 57158:58526, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121925 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 58526:59894, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122113 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 59894:61262, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122570 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 61262:62630, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122571 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 62630:63998, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122572 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 63998:65366, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122573 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 65366:66734, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122574 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 66734:68102, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122575 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 68102:69470, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122716 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 69470:70838, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122717 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 70838:72206, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122718 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 72206:73574, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122719 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 73574:74942, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122719 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 74942:76310, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122720 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 76310:77678, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122721 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 77678:79046, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122722 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 79046:80414, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122723 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 80414:81782, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122723 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 81782:83150, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122724 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 83150:84518, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122725 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 84518:85886, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122726 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 85886:87254, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122726 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 87254:88622, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122727 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 88622:89990, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122728 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 89990:91358, ack 526, win 506, options [nop,nop,TS val 1395313740 ecr 3652396338], length 1368
 00:00:00.122831 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 91358:92726, ack 526, win 506, options [nop,nop,TS val 1395313740 ecr 3652396338], length 1368
 00:00:00.122832 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 92726:94094, ack 526, win 506, options [nop,nop,TS val 1395313740 ecr 3652396338], length 1368
 00:00:00.122832 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 94094:95462, ack 526, win 506, options [nop,nop,TS val 1395313740 ecr 3652396338], length 1368
 00:00:00.122833 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 95462:96830, ack 526, win 506, options [nop,nop,TS val 1395313740 ecr 3652396338], length 1368
 00:00:00.133872 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 96830:98198, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133874 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 98198:99566, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133875 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 99566:100934, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133876 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 100934:102302, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133877 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 102302:103670, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133878 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 103670:105038, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133879 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 105038:106406, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133880 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 106406:107774, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133881 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 107774:109142, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133966 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 109142:110510, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.133967 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 110510:111878, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.134003 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 111878:113246, ack 526, win 506, options [nop,nop,TS val 1395313751 ecr 3652396350], length 1368
 00:00:00.135653 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 113246:114614, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135951 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 114614:115982, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135954 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 115982:117350, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135955 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 117350:118718, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135956 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 118718:120086, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135956 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 120086:121454, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135957 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 121454:122822, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135958 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 122822:124190, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135959 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 124190:125558, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135960 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 125558:126926, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135961 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 126926:128294, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
